height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,manOfTheMatch,goal,assistTotal,shotsPerGame,aerialWonPerGame,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,passSuccess,ranking
190,82,20,False,True,-DMC-,DMC,Germany,es,UEL,3,0,0,0,0,2.3333333333333335,3.0,Chema Andres,José María,Andres Baixauli,539663,Midfielder,41,Stuttgart,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.126666666666666,229,1.0,0.0,84.7457627118644,62
0,0,22,False,True,-FW-,FW,Czech Republic,ng,UEL,5,0,1,2,0,1.8,3.4,Rafiu Durosinmi,Rafiu,Durosinmi,472299,Forward,1076,Viktoria Plzen,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.126,420,2.0,0.0,74.4186046511628,63
183,0,20,False,True,-DMC-,DMC,France,fr,UEL,5,0,1,0,1,1.0,1.0,Mathys de Carvalho,Mathys,de Carvalho,558190,Midfielder,228,Lyon,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.122,450,0.0,0.0,86.25730994152046,64
197,81,25,False,True,-GK-,GK,Romania,ro,UEL,4,0,1,0,0,0.0,0.25,Stefan Târnovanu,Stefan,Târnovanu,439795,Goalkeeper,1202,FC FCSB,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.12,282,0.0,1.0,60.0,65
176,72,28,False,True,-MC-,M(C),England,be,UEL,2,1,0,0,1,1.0,0.0,Youri Tielemans,Youri,Tielemans,136345,Midfielder,24,Aston Villa,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.12,76,0.0,0.0,92.53731343283582,66
173,66,23,False,True,-DR-MR-,"D(R),M(R)",Belgium,ma,UEL,3,0,0,0,1,1.6666666666666667,0.0,Zakaria El Ouahdi,Zakaria,El Ouahdi,484526,Defender,140,Genk,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.116666666666667,258,1.0,0.0,87.5,67
186,77,29,False,True,-MC-ML-,M(CL),Italy,it,UEL,4,1,1,1,1,1.5,0.5,Lorenzo Pellegrini,Lorenzo,Pellegrini,148546,Midfielder,84,Roma,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.115,228,0.0,0.0,83.33333333333334,68
0,0,20,False,True,,Defender,Norway,no,UEL,5,0,0,0,0,0.2,3.0,Eivind Helland,Eivind,Helland,486906,Defender,446,Brann,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.109999999999999,450,1.0,0.0,88.09523809523809,69
201,93,25,False,True,-GK-,GK,Denmark,is,UEL,5,0,0,0,0,0.0,0.2,Elías Ólafsson,Elías,Ólafsson,388042,Goalkeeper,395,FC Midtjylland,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.108,450,0.0,0.0,68.23529411764706,70
196,81,33,False,True,-GK-,GK,Greece,cz,UEL,3,0,0,0,0,0.0,0.0,Jirí Pavlenka,Jirí,Pavlenka,247458,Goalkeeper,851,PAOK Thessaloniki FC,10904,2025/2026,True,30,250,ceu,Europe,Europa League,7.103333333333334,270,0.0,0.0,77.01149425287356,71
