height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,manOfTheMatch,goal,assistTotal,shotsPerGame,aerialWonPerGame,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,passSuccess,ranking
171,63,30,False,True,-DL-ML-,"D(L),M(L)",Germany,es,UCL,5,0,1,2,1,1.8,0.4,Alejandro Grimaldo,Alejandro,Grimaldo,107252,Defender,36,Leverkusen,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.4079999999999995,450,1.0,0.0,81.77966101694916,37
190,75,26,False,True,-DC-,D(C),Italy,it,UCL,4,0,0,0,1,0.25,1.75,Alessandro Bastoni,Alessandro,Bastoni,329665,Defender,75,Inter,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.4,329,0.0,0.0,89.272030651341,38
192,87,31,False,True,-DC-DL-,D(CL),Italy,xk,UCL,2,0,0,0,0,0.5,2.5,Amir Rrahmani,Amir,Rrahmani,295358,Defender,276,Napoli,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.385,180,2.0,0.0,94.19354838709677,39
185,80,23,False,True,-DC-DL-,D(CL),England,hr,UCL,4,0,0,0,1,1.0,2.0,Josko Gvardiol,Josko,Gvardiol,402664,Defender,167,Man City,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.375,350,0.0,0.0,92.97124600638978,40
190,78,27,False,True,-DC-,D(C),England,br,UCL,4,0,0,1,1,1.25,2.25,Gabriel Magalhães,Gabriel,dos Santos Magalhães,334087,Defender,13,Arsenal,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.374999999999999,327,1.0,0.0,85.64102564102564,41
172,69,25,False,True,-AMC-AML-FW-,"AM(CL),FW",Spain,it,UCL,2,0,0,1,1,1.5,0.0,Giacomo Raspadori,Giacomo,Raspadori,371497,Forward,63,Atletico,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.37,108,0.0,0.0,85.71428571428571,42
174,66,21,False,True,-DMC-DR-,"D(R),DMC",France,pt,UCL,3,1,0,1,1,1.3333333333333333,1.0,João Neves,João Pedro,Gonçalves Neves,465388,Midfielder,304,PSG,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.366666666666667,172,0.0,0.0,96.57534246575342,43
0,0,22,False,True,,Goalkeeper,Kazakhstan,kz,UCL,3,0,0,0,0,0.0,0.6666666666666666,Temirlan Anarbekov,Temirlan,Anarbekov,421734,Goalkeeper,1770,Kairat Almaty,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.366666666666667,270,0.0,0.0,65.0,44
183,80,29,False,True,-FW-MC-ML-MR-,"M(CLR),FW",Turkey,de,UCL,4,0,0,0,2,2.25,0.5,Leroy Sané,Leroy,Sané,144711,Forward,294,Galatasaray,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.365,337,0.0,0.0,85.18518518518519,45
178,71,35,False,True,-DL-DR-MR-,"D(LR),M(R)",England,gb-eng,UCL,4,0,0,0,1,0.0,0.75,Kieran Trippier,Kieran,Trippier,83078,Defender,23,Newcastle,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.3525,339,0.0,0.0,75.36945812807882,46
187,82,29,False,True,-AML-FW-,"AM(L),FW",Germany,gn,UCL,5,0,1,3,2,2.4,2.2,Serhou Guirassy,Serhou,Guirassy,236506,Forward,44,Borussia Dortmund,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.345999999999999,402,0.0,0.0,84.375,47
191,76,33,False,True,-GK-,GK,England,gb-eng,UCL,5,0,0,0,1,0.0,0.4,Nick Pope,Nick,Pope,105720,Goalkeeper,23,Newcastle,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.340000000000001,450,0.0,0.0,66.97247706422019,48
193,81,24,False,True,-DC-DL-,D(CL),England,nl,UCL,5,0,1,2,0,0.8,0.8,Micky van de Ven,Micky,van de Ven,425229,Defender,30,Tottenham,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.339999999999999,450,2.0,0.0,93.61702127659575,49
181,70,24,False,True,-AMC-AML-AMR-FW-,"AM(CLR),FW",France,jm,UCL,5,0,0,1,1,4.4,0.0,Mason Greenwood,Mason,Greenwood,367782,Forward,249,Marseille,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.331999999999999,404,1.0,0.0,81.54761904761905,50
195,87,20,False,True,-DC-,D(C),Spain,es,UCL,3,0,0,0,0,0.6666666666666666,2.3333333333333335,Dean Huijsen,Dean,Huijsen,468852,Defender,52,Real Madrid,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.32,270,1.0,0.0,81.67539267015707,51
178,64,31,False,True,-DL-ML-,"D(L),M(L)",England,gb-sct,UCL,3,0,0,1,1,0.3333333333333333,1.0,Andy Robertson,Andy,Robertson,115726,Defender,26,Liverpool,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.293333333333333,264,0.0,0.0,87.84530386740332,52
188,80,29,False,True,-DR-MR-,"D(R),M(R)",Italy,nl,UCL,4,0,0,2,0,2.0,1.25,Denzel Dumfries,Denzel,Dumfries,322153,Defender,75,Inter,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.28,333,0.0,0.0,88.28828828828829,53
196,83,25,False,True,-DC-,D(C),Italy,de,UCL,4,0,0,0,1,0.5,2.0,Yann Bisseck,Yann,Bisseck,349126,Defender,75,Inter,10903,2025/2026,True,12,250,ceu,Europe,Champions League,7.279999999999999,328,1.0,0.0,92.33716475095785,54
