teamName,apps,assistTotal,goal,manOfTheMatch,minsPlayed,name,playedPositions,playedPositionsShort,playerId,positionText,ranking,redCard,teamId,teamRegionName,tournamentName,tournamentRegionId,tournamentRegionName,yellowCard,rating
Rayo Vallecano,5,0,0,0,41,Óscar Trejo,-FW-MC-ML-MR-,"M(CLR),FW",16942,Midfielder,444,0,64,Spain,LaLiga,206,Spain,2,6.076
Sevilla,2,0,0,0,16,Manu Bueno,,Midfielder,469547,Midfielder,445,0,67,Spain,LaLiga,206,Spain,0,6.075
Elche,1,0,0,0,25,Jairo Izquierdo,,Defender,403808,Defender,446,0,833,Spain,LaLiga,206,Spain,0,6.07
Athletic Club,6,0,0,0,143,Unai Gómez,-AMC-,AM(C),480619,Midfielder,447,0,53,Spain,LaLiga,206,Spain,0,6.07
Celta Vigo,6,0,0,0,236,Williot Swedberg,-AMC-AML-,AM(CL),444227,Midfielder,448,0,62,Spain,LaLiga,206,Spain,1,6.07
Real Oviedo,9,0,0,0,308,Josip Brekalo,-AMC-AML-AMR-FW-,"AM(CLR),FW",298792,Forward,449,0,61,Spain,LaLiga,206,Spain,1,6.065555556
Real Sociedad,6,0,0,0,150,Arsen Zakharyan,-MC-ML-MR-,M(CLR),400185,Midfielder,450,0,68,Spain,LaLiga,206,Spain,1,6.061666667
Getafe,7,1,0,0,383,Alex Sancris,,Forward,463844,Forward,451,1,819,Spain,LaLiga,206,Spain,0,6.061428571
Real Betis,1,0,0,0,46,Diego Llorente,-DC-DMC-,"D(C),DMC",123232,Defender,452,0,54,Spain,LaLiga,206,Spain,0,6.06
Rayo Vallecano,3,0,0,0,11,Samu Becerra,,Midfielder,578016,Midfielder,453,0,64,Spain,LaLiga,206,Spain,0,6.06
Athletic Club,9,0,0,0,186,Mikel Vesga,-MC-,M(C),261516,Midfielder,454,0,53,Spain,LaLiga,206,Spain,0,6.058888889
Real Sociedad,5,0,0,0,130,Luka Sucic,-AMC-AMR-,AM(CR),407080,Midfielder,455,0,68,Spain,LaLiga,206,Spain,0,6.058
Elche,2,0,0,0,49,Bambo Diaby,-DC-,D(C),379633,Defender,456,0,833,Spain,LaLiga,206,Spain,0,6.055
Mallorca,5,0,0,0,117,Javi Llabrés,,Forward,428593,Forward,457,0,51,Spain,LaLiga,206,Spain,0,6.054
Getafe,6,0,0,0,133,Abu Kamara,-AML-AMR-,AM(LR),435987,Forward,458,0,819,Spain,LaLiga,206,Spain,0,6.05
Levante,2,0,0,0,12,Alan Matturro,-DC-,D(C),445480,Defender,459,0,832,Spain,LaLiga,206,Spain,0,6.045
Levante,3,0,0,0,38,Iker Losada,,Forward,381583,Forward,460,0,832,Spain,LaLiga,206,Spain,0,6.043333333
Real Oviedo,6,0,0,0,116,Álex Forés,,Forward,513640,Forward,461,0,61,Spain,LaLiga,206,Spain,0,6.026666667
Real Oviedo,2,0,0,0,26,Pablo Agudín,,Midfielder,597609,Midfielder,462,0,61,Spain,LaLiga,206,Spain,0,6.025
Levante,4,0,0,0,70,Carlos Espí,,Forward,516341,Forward,463,0,832,Spain,LaLiga,206,Spain,0,6.025
Real Oviedo,1,0,0,0,13,Borja Sánchez,,Midfielder,461767,Midfielder,464,0,61,Spain,LaLiga,206,Spain,0,6.02
Osasuna,9,0,0,0,108,Kike Barja,-AML-AMR-,AM(LR),336251,Forward,465,0,131,Spain,LaLiga,206,Spain,1,6.016666667
Real Oviedo,11,0,1,0,530,Luka Ilic,-AMC-,AM(C),361898,Midfielder,466,1,61,Spain,LaLiga,206,Spain,2,6.01
Real Betis,5,0,0,0,42,Chimy Ávila,-AML-AMR-FW-,"AM(LR),FW",303707,Forward,467,0,54,Spain,LaLiga,206,Spain,2,6.006
Osasuna,6,0,0,0,102,Sheraldo Becker,-AMC-AML-AMR-FW-,"AM(CLR),FW",137227,Forward,468,0,131,Spain,LaLiga,206,Spain,0,6.003333333
Athletic Club,1,0,0,0,1,Álex Padilla,,Goalkeeper,449383,Goalkeeper,469,1,53,Spain,LaLiga,206,Spain,0,6
Real Madrid,1,0,0,0,1,Andrii Lunin,-GK-,GK,345031,Goalkeeper,470,1,52,Spain,LaLiga,206,Spain,0,6
Real Betis,1,0,0,0,1,Dani Pérez,,Midfielder,462987,Midfielder,471,0,54,Spain,LaLiga,206,Spain,0,6
Sevilla,1,0,0,0,1,Oso,,Defender,511064,Defender,472,0,67,Spain,LaLiga,206,Spain,1,6
Rayo Vallecano,6,0,0,0,76,Gerard Gumbau,-DMC-,DMC,294123,Midfielder,473,0,64,Spain,LaLiga,206,Spain,0,5.99
Girona,9,0,0,0,330,Jhon Solís,-DMC-,DMC,445345,Midfielder,474,0,2783,Spain,LaLiga,206,Spain,0,5.984444444
Getafe,1,0,0,0,12,Álex Sola,-DR-ML-MR-,"D(R),M(LR)",370000,Midfielder,475,0,819,Spain,LaLiga,206,Spain,0,5.98
Deportivo Alaves,1,0,0,0,1,Lander Pinillos,,Midfielder,561841,Midfielder,476,0,60,Spain,LaLiga,206,Spain,0,5.98
Girona,3,0,0,0,22,Lancinet Kourouma,,Midfielder,542750,Midfielder,477,0,2783,Spain,LaLiga,206,Spain,0,5.97
Levante,3,0,0,0,242,Jorge Cabello,,Defender,518057,Defender,478,0,832,Spain,LaLiga,206,Spain,0,5.966666667
Rayo Vallecano,7,0,0,0,147,Sergio Camello,-FW-,FW,372469,Forward,479,1,64,Spain,LaLiga,206,Spain,2,5.96
Mallorca,9,0,0,0,307,Antonio Sánchez,-DR-MC-MR-,"D(R),M(CR)",425092,Midfielder,480,1,51,Spain,LaLiga,206,Spain,2,5.914444444
Getafe,4,0,0,0,64,Yvan Neyou,-DMC-,DMC,396583,Defender,481,0,819,Spain,LaLiga,206,Spain,2,5.9
Getafe,2,0,0,0,32,Juanmi,-AMC-AML-AMR-FW-,"AM(CLR),FW",83080,Forward,482,0,819,Spain,LaLiga,206,Spain,0,5.865
Sevilla,1,0,0,0,46,Stanis Idumbo,,Midfielder,516051,Midfielder,483,0,67,Spain,LaLiga,206,Spain,0,5.83
Girona,3,0,0,0,202,David López,-DC-DMC-,"D(C),DMC",92691,Defender,484,0,2783,Spain,LaLiga,206,Spain,0,5.806666667
Deportivo Alaves,1,0,0,0,9,Diego Morcillo,,Forward,464011,Forward,485,0,60,Spain,LaLiga,206,Spain,0,5.8
Girona,2,0,0,0,136,Vladyslav Krapyvtsov,,Goalkeeper,497397,Goalkeeper,486,0,2783,Spain,LaLiga,206,Spain,0,5.785
Girona,1,0,0,0,45,Bojan Miovski,-FW-,FW,424737,Forward,487,0,2783,Spain,LaLiga,206,Spain,0,5.78
Real Oviedo,1,0,0,0,45,Marco Esteban,,Defender,506112,Defender,488,0,61,Spain,LaLiga,206,Spain,0,5.73
Girona,2,0,0,0,112,Yangel Herrera,-MC-,M(C),318505,Midfielder,489,0,2783,Spain,LaLiga,206,Spain,0,5.715
Real Sociedad,2,0,0,0,65,Mikel Goti,,Midfielder,546571,Midfielder,490,0,68,Spain,LaLiga,206,Spain,0,5.675
Getafe,3,0,0,0,15,Allan Nyom,-DL-DR-MR-,"D(LR),M(R)",91434,Defender,491,1,819,Spain,LaLiga,206,Spain,1,5.66
Girona,2,0,0,0,180,Ladislav Krejcí,-DC-DMC-,"D(C),DMC",404245,Defender,492,0,2783,Spain,LaLiga,206,Spain,1,5.505
