teamName,apps,assistTotal,goal,manOfTheMatch,minsPlayed,name,playedPositions,playedPositionsShort,playerId,positionText,ranking,redCard,teamId,teamRegionName,tournamentName,tournamentRegionId,tournamentRegionName,yellowCard,rating
Villarreal,11,0,0,0,567,Thomas Partey,-DR-MC-MR-,"D(R),M(CR)",238940,Midfielder,317,0,839,Spain,LaLiga,206,Spain,0,6.371818182
Elche,2,0,0,0,50,Mourad El Ghezouani,,Forward,402630,Forward,318,0,833,Spain,LaLiga,206,Spain,0,6.37
Real Oviedo,11,0,0,0,630,Ilyas Chaira,-AML-,AM(L),495542,Forward,319,0,61,Spain,LaLiga,206,Spain,0,6.368181818
Mallorca,10,0,0,0,696,Manu Morlanes,-DMC-,DMC,349660,Midfielder,320,1,51,Spain,LaLiga,206,Spain,0,6.368
Levante,9,0,0,0,805,Unai Elgezabal,-DC-,D(C),299752,Defender,321,0,832,Spain,LaLiga,206,Spain,2,6.367777778
Real Sociedad,12,1,1,0,485,Gonçalo Guedes,-AMC-AML-AMR-FW-,"AM(CLR),FW",247995,Forward,322,0,68,Spain,LaLiga,206,Spain,0,6.3675
Osasuna,10,0,0,0,696,Moi Gómez,-MC-ML-MR-,M(CLR),101238,Forward,323,0,131,Spain,LaLiga,206,Spain,1,6.367
Mallorca,1,0,0,0,62,David López,,Defender,502424,Defender,324,0,51,Spain,LaLiga,206,Spain,0,6.36
Espanyol,12,0,1,0,915,Pol Lozano,-DMC-,DMC,382157,Midfielder,325,0,70,Spain,LaLiga,206,Spain,2,6.359166667
Girona,5,1,0,0,196,Thomas Lemar,-AMC-AML-AMR-,AM(CLR),132962,Midfielder,326,0,2783,Spain,LaLiga,206,Spain,0,6.356
Rayo Vallecano,12,0,0,0,775,Pedro Díaz,-MC-,M(C),448514,Midfielder,327,0,64,Spain,LaLiga,206,Spain,0,6.355
Athletic Club,9,0,1,0,625,Oihan Sancet,-FW-MC-,"M(C),FW",381510,Midfielder,328,0,53,Spain,LaLiga,206,Spain,1,6.353333333
Levante,9,0,0,0,578,Oriol Rey,-MC-,M(C),362623,Midfielder,329,0,832,Spain,LaLiga,206,Spain,0,6.352222222
Celta Vigo,11,0,0,0,515,Bryan Zaragoza,-AML-AMR-,AM(LR),429273,Forward,330,0,62,Spain,LaLiga,206,Spain,0,6.351818182
Athletic Club,11,0,2,0,428,Robert Navarro,-AML-AMR-,AM(LR),400237,Midfielder,331,0,53,Spain,LaLiga,206,Spain,1,6.350909091
Mallorca,6,0,0,0,283,Omar Mascarell,-DC-DMC-,"D(C),DMC",115996,Midfielder,332,0,51,Spain,LaLiga,206,Spain,1,6.35
Sevilla,8,0,1,1,556,Djibril Sow,-MC-,M(C),317630,Midfielder,333,0,67,Spain,LaLiga,206,Spain,2,6.34375
Real Sociedad,6,0,0,0,261,Beñat Turrientes,-DMC-,DMC,407138,Midfielder,334,0,68,Spain,LaLiga,206,Spain,2,6.335
Girona,8,0,3,0,188,Cristhian Stuani,-AMC-AML-AMR-FW-,"AM(CLR),FW",24400,Forward,335,0,2783,Spain,LaLiga,206,Spain,2,6.33375
Valencia,7,0,0,0,434,Thierry Correia,-DR-MR-,"D(R),M(R)",367180,Defender,336,0,55,Spain,LaLiga,206,Spain,0,6.332857143
Levante,11,0,0,0,769,Adrián de la Fuente,-DC-,D(C),383780,Defender,337,0,832,Spain,LaLiga,206,Spain,2,6.332727273
Sevilla,1,0,0,0,5,Adrià Pedrosa,-DL-ML-,"D(L),M(L)",363966,Defender,338,0,67,Spain,LaLiga,206,Spain,0,6.33
Valencia,4,1,0,0,90,Filip Ugrinic,-MC-,M(C),379684,Midfielder,339,0,55,Spain,LaLiga,206,Spain,0,6.33
Sevilla,9,1,0,0,241,Chidera Ejuke,-AMC-AML-AMR-FW-,"AM(CLR),FW",337022,Forward,340,0,67,Spain,LaLiga,206,Spain,0,6.328888889
Villarreal,10,0,0,0,353,Dani Parejo,-MC-,M(C),28186,Midfielder,341,0,839,Spain,LaLiga,206,Spain,2,6.326
Osasuna,4,0,0,0,192,Iker Muñoz,-DMC-,DMC,474267,Midfielder,342,0,131,Spain,LaLiga,206,Spain,1,6.3225
Athletic Club,1,0,0,0,46,Adama Boiro,-DL-,D(L),515307,Defender,343,0,53,Spain,LaLiga,206,Spain,0,6.32
Villarreal,3,0,0,0,270,Arnau Tenas,-GK-,GK,396147,Goalkeeper,344,0,839,Spain,LaLiga,206,Spain,0,6.32
Villarreal,5,0,1,0,117,Ayoze Pérez,-AMC-AML-AMR-FW-,"AM(CLR),FW",135366,Forward,345,0,839,Spain,LaLiga,206,Spain,0,6.32
Sevilla,9,0,1,0,264,Peque Fernández,-AMC-,AM(C),464952,Forward,346,0,67,Spain,LaLiga,206,Spain,4,6.317777778
Real Betis,4,0,0,0,91,Nelson Deossa,-MC-,M(C),432475,Midfielder,347,0,54,Spain,LaLiga,206,Spain,0,6.3175
Valencia,12,0,2,0,872,Diego López,-AMC-AML-AMR-FW-,"AM(CLR),FW",422656,Forward,348,0,55,Spain,LaLiga,206,Spain,2,6.315
Rayo Vallecano,9,0,1,0,517,Alemão,-FW-,FW,436617,Forward,349,0,64,Spain,LaLiga,206,Spain,0,6.314444444
Valencia,10,0,0,0,746,José Gayà,-DL-ML-,"D(L),M(L)",119817,Defender,350,1,55,Spain,LaLiga,206,Spain,3,6.312
Athletic Club,9,0,1,0,677,Iñaki Williams,-AMC-AML-AMR-FW-,"AM(CLR),FW",255182,Forward,351,0,53,Spain,LaLiga,206,Spain,0,6.311111111
Barcelona,2,0,0,0,38,Jofre Torrents,,Defender,572374,Defender,352,0,65,Spain,LaLiga,206,Spain,0,6.31
Girona,9,2,0,0,368,Bryan Gil,-MC-ML-MR-,M(CLR),368519,Forward,353,0,2783,Spain,LaLiga,206,Spain,2,6.31
Levante,9,1,0,0,337,Jon Olasagasti,-MC-,M(C),413346,Midfielder,354,0,832,Spain,LaLiga,206,Spain,1,6.307777778
Valencia,9,0,0,0,699,Copete,-DC-,D(C),444252,Defender,355,0,55,Spain,LaLiga,206,Spain,1,6.307777778
Elche,8,0,1,0,174,John Donald,-DC-DMC-,"D(C),DMC",408347,Defender,356,0,833,Spain,LaLiga,206,Spain,1,6.30625
Real Sociedad,9,0,0,0,388,Aihen Muñoz,-DL-,D(L),367583,Defender,357,0,68,Spain,LaLiga,206,Spain,1,6.303333333
Rayo Vallecano,1,0,0,0,45,Pelayo Fernández,,Defender,531953,Defender,358,0,64,Spain,LaLiga,206,Spain,0,6.3
