playedPositions,playedPositionsShort,teamRegionName,tournamentShortName,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentRegionName,tournamentName,minsPlayed,yellowCard,redCard,ranking
-FW-,FW,England,UCL,2,2,0,0,1,William Osula,416209,Forward,23,Newcastle,Europe,Champions League,22,0,0,363
-DC-,D(C),Portugal,UCL,2,1,0,0,0,Ousmane Diomande,443663,Defender,296,Sporting,Europe,Champions League,100,0,0,364
,Forward,Czech Republic,UCL,4,1,0,0,0,Vasil Kusej,476762,Forward,349,Slavia Prague,Europe,Champions League,240,0,0,365
-FW-,FW,Spain,UCL,2,2,0,0,1,Gonzalo García,498798,Forward,52,Real Madrid,Europe,Champions League,11,0,0,366
-AMR-,AM(R),Spain,UCL,2,2,0,0,1,Ilias Akhomach,428500,Forward,839,Villarreal,Europe,Champions League,30,1,0,367
-DMC-,DMC,Cyprus,UCL,4,0,0,0,0,Ivan Sunjic,363683,Midfielder,2748,Pafos FC,Europe,Champions League,360,1,0,368
-AMC-AML-AMR-,AM(CLR),England,UCL,2,1,0,0,0,Jacob Ramsey,369813,Midfielder,23,Newcastle,Europe,Champions League,70,0,0,369
,Forward,Kazakhstan,UCL,3,2,0,1,0,Edmilson,530652,Forward,1770,Kairat Almaty,Europe,Champions League,116,0,0,370
-DL-ML-,"D(L),M(L)",France,UCL,4,2,0,0,0,Kassoum Ouattara,467072,Defender,248,Monaco,Europe,Champions League,240,1,0,371
-DC-DL-ML-,"D(CL),M(L)",France,UCL,3,0,0,0,0,Emerson,101955,Defender,249,Marseille,Europe,Champions League,215,0,1,372
-DC-DL-DR-MR-,"D(CLR),M(R)",Belgium,UCL,4,0,0,1,0,Kevin Mac Allister,312686,Defender,2647,Union St.Gilloise,Europe,Champions League,337,2,0,373
-MC-,M(C),France,UCL,4,1,0,0,0,Pierre-Emile Højbjerg,101859,Midfielder,249,Marseille,Europe,Champions League,298,1,0,374
,Defender,Kazakhstan,UCL,4,0,0,0,0,Luís Mata,354147,Defender,1770,Kairat Almaty,Europe,Champions League,350,0,0,375
-AML-FW-,"AM(L),FW",Spain,UCL,4,1,0,0,0,Vinícius Júnior,337782,Forward,52,Real Madrid,Europe,Champions League,271,1,0,376
-DL-DMC-,"D(L),DMC",Spain,UCL,3,2,0,1,0,Eduardo Camavinga,369109,Midfielder,52,Real Madrid,Europe,Champions League,95,0,0,377
-DC-DMC-DR-,"D(CR),DMC",Germany,UCL,4,0,0,1,0,Waldemar Anton,296768,Defender,44,Borussia Dortmund,Europe,Champions League,360,1,0,378
-DMC-DR-MR-,"D(R),DMC,M(R)",France,UCL,4,1,0,0,0,Warren Zaïre-Emery,444679,Midfielder,304,PSG,Europe,Champions League,291,0,0,379
-MC-MR-,M(CR),France,UCL,4,1,0,0,0,Matt O'Riley,342889,Midfielder,249,Marseille,Europe,Champions League,263,1,0,380
-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,UCL,3,2,0,0,0,Dani Olmo,261212,Midfielder,65,Barcelona,Europe,Champions League,112,1,0,381
-AML-AMR-,AM(LR),Spain,UCL,4,1,0,1,0,Robert Navarro,400237,Midfielder,53,Athletic Club,Europe,Champions League,245,0,0,382
-DC-DL-,D(CL),Germany,UCL,4,0,0,0,0,Arthur Theate,399961,Defender,45,Eintracht Frankfurt,Europe,Champions League,360,0,0,383
-DL-ML-,"D(L),M(L)",Azerbaijan,UCL,4,0,0,0,0,Elvin Cafarquliyev,402680,Defender,2569,Qarabag FK,Europe,Champions League,332,0,0,384
-DL-,D(L),Norway,UCL,3,0,0,0,1,Fredrik Bjørkan,320971,Defender,439,Bodoe/Glimt,Europe,Champions League,257,1,0,385
-FW-,FW,France,UCL,4,0,0,1,0,Folarin Balogun,384065,Forward,248,Monaco,Europe,Champions League,318,0,0,386
-FW-,FW,Portugal,UCL,4,2,0,0,1,Fotis Ioannidis,418176,Forward,296,Sporting,Europe,Champions League,194,0,0,387
,Forward,Norway,UCL,4,4,0,1,0,Andreas Helmersen,261339,Forward,439,Bodoe/Glimt,Europe,Champions League,64,0,0,388
-DC-DL-,D(CL),Spain,UCL,4,0,0,1,0,Renato Veiga,434077,Midfielder,839,Villarreal,Europe,Champions League,360,2,0,389
-DC-DMC-DR-,"D(CR),DMC",Spain,UCL,3,0,0,0,0,Juan Foyth,335107,Defender,839,Villarreal,Europe,Champions League,270,0,0,390
-DC-DL-DMC-DR-,"D(CLR),DMC",Italy,UCL,4,3,0,0,0,Manuel Akanji,297390,Defender,75,Inter,Europe,Champions League,167,0,0,391
-FW-MC-ML-MR-,"M(CLR),FW",Germany,UCL,3,1,0,0,1,Mario Götze,80382,Midfielder,45,Eintracht Frankfurt,Europe,Champions League,171,0,0,392
-DL-,D(L),Denmark,UCL,4,1,0,0,0,Marcos López,371042,Defender,10,Copenhagen,Europe,Champions League,297,2,0,393
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,UCL,2,0,0,0,0,Pedro Neto,337916,Forward,15,Chelsea,Europe,Champions League,158,0,0,394
-AML-AMR-FW-,"AM(LR),FW",Greece,UCL,4,0,0,1,0,Ayoub El Kaabi,346110,Forward,843,Olympiacos,Europe,Champions League,341,0,0,395
-DC-DL-ML-,"D(CL),M(L)",Italy,UCL,2,2,0,0,0,Mathías Olivera,347178,Defender,276,Napoli,Europe,Champions League,73,0,0,396
-FW-,FW,Belgium,UCL,4,1,0,1,0,Promise David,532188,Forward,2647,Union St.Gilloise,Europe,Champions League,205,0,0,397
-DR-,D(R),Norway,UCL,4,0,0,0,0,Fredrik Sjøvold,438195,Defender,439,Bodoe/Glimt,Europe,Champions League,360,0,0,398
-DC-DL-,D(CL),France,UCL,2,2,0,0,0,Lucas Hernández,139186,Defender,304,PSG,Europe,Champions League,70,0,0,399
-DL-DR-MR-,"D(LR),M(R)",Netherlands,UCL,3,1,0,0,0,Sergiño Dest,379205,Defender,129,PSV Eindhoven,Europe,Champions League,186,0,0,400
-DR-FW-MC-ML-MR-,"D(R),M(CLR),FW",Turkey,UCL,4,1,0,0,0,Roland Sallai,243889,Forward,294,Galatasaray,Europe,Champions League,288,0,0,401
-MC-,M(C),Denmark,UCL,2,0,0,0,0,William Clem,458988,Midfielder,10,Copenhagen,Europe,Champions League,171,0,0,402
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,UCL,4,1,0,0,0,Richarlison,317804,Forward,30,Tottenham,Europe,Champions League,255,2,0,403
-AML-FW-,"AM(L),FW",Italy,UCL,4,1,0,0,0,Nikola Krstovic,404252,Forward,300,Atalanta,Europe,Champions League,280,0,0,404
-FW-MC-ML-MR-,"M(CLR),FW",Netherlands,UCL,4,0,0,0,0,Ivan Perisic,70524,Forward,129,PSV Eindhoven,Europe,Champions League,315,1,0,405
-DR-MR-,"D(R),M(R)",Portugal,UCL,4,1,0,0,0,Amar Dedic,418203,Defender,299,Benfica,Europe,Champions League,264,0,0,406
-DL-DR-MR-,"D(LR),M(R)",England,UCL,4,2,0,0,0,Djed Spence,362219,Defender,30,Tottenham,Europe,Champions League,179,0,0,407
-DMC-,DMC,Netherlands,UCL,3,2,0,0,0,Jorthy Mokio,517929,Defender,130,Ajax,Europe,Champions League,212,1,0,408
-DC-,D(C),Denmark,UCL,2,2,0,0,0,Munashe Garan'anga,474641,Defender,10,Copenhagen,Europe,Champions League,34,0,0,409
-DL-DR-ML-MR-,"D(LR),M(LR)",Italy,UCL,4,0,0,0,0,Andrea Cambiaso,423440,Defender,87,Juventus,Europe,Champions League,347,2,0,410
-DMC-,DMC,Greece,UCL,4,3,0,0,0,Christos Mouzakitis,533922,Midfielder,843,Olympiacos,Europe,Champions League,184,0,0,411
-DMC-,DMC,Portugal,UCL,3,0,0,0,0,João Simões,540227,Midfielder,296,Sporting,Europe,Champions League,224,0,0,412
