playedPositions,playedPositionsShort,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-DC-DR-MR-,"D(CR),M(R)",12,0,1,0,0,Clinton Mata,364214,Defender,228,Lyon,22,fr,France,Ligue 1,6.65,1063,3,0,119
-DR-MC-ML-MR-,"D(R),M(CLR)",8,2,0,0,1,Przemyslaw Frankowski,339500,Midfielder,313,Rennes,22,fr,France,Ligue 1,6.65,526,4,0,120
-DR-,D(R),12,0,1,0,0,Koffi Kouao,342610,Defender,314,Metz,22,fr,France,Ligue 1,6.645833333,1045,3,0,121
-DL-,D(L),11,1,1,0,1,Yanis Zouaoui,532224,Defender,217,Le Havre,22,fr,France,Ligue 1,6.640909091,875,4,0,122
-DC-DL-ML-,"D(CL),M(L)",12,2,0,1,0,Melvin Bard,389064,Defender,613,Nice,22,fr,France,Ligue 1,6.639166667,990,2,0,123
-FW-ML-MR-,"M(LR),FW",11,6,0,1,2,Mousa Tamari,383816,Forward,313,Rennes,22,fr,France,Ligue 1,6.637272727,573,2,0,124
,Forward,11,8,1,4,2,Robinio Vaz,511691,Forward,249,Marseille,22,fr,France,Ligue 1,6.637272727,291,2,0,125
-DL-ML-,"D(L),M(L)",9,1,0,0,3,Kassoum Ouattara,467072,Defender,248,Monaco,22,fr,France,Ligue 1,6.636666667,603,2,0,126
-DL-ML-,"D(L),M(L)",11,1,2,0,2,Quentin Merlin,411087,Defender,313,Rennes,22,fr,France,Ligue 1,6.630909091,893,0,0,127
-AMC-AMR-FW-,"AM(CR),FW",9,3,0,3,0,Breel Embolo,143695,Forward,313,Rennes,22,fr,France,Ligue 1,6.627777778,519,1,0,128
-AMC-,AM(C),9,3,1,4,0,Pablo Pagis,431667,Forward,146,Lorient,22,fr,France,Ligue 1,6.625555556,477,1,0,129
-FW-,FW,11,6,0,2,2,Mohamed Meïté,545888,Forward,313,Rennes,22,fr,France,Ligue 1,6.619090909,387,0,0,130
-DL-ML-,"D(L),M(L)",12,1,0,0,1,Bradley Locko,422187,Defender,2332,Brest,22,fr,France,Ligue 1,6.616666667,930,0,0,131
-DMC-,DMC,9,0,0,1,0,Junior Mwanga,437775,Midfielder,302,Nantes,22,fr,France,Ligue 1,6.612222222,797,1,0,132
-MC-,M(C),10,3,0,1,0,Seko Fofana,254562,Midfielder,313,Rennes,22,fr,France,Ligue 1,6.609,642,0,0,133
-MC-ML-,M(CL),7,2,1,1,1,Fabián Ruiz,294193,Midfielder,304,PSG,22,fr,France,Ligue 1,6.597142857,449,1,0,134
-MC-,M(C),9,3,0,0,2,Félix Lemaréchal,426647,Midfielder,148,Strasbourg,22,fr,France,Ligue 1,6.596666667,486,1,0,135
-DMC-,DMC,11,1,0,1,0,Joris Chotard,380645,Midfielder,2332,Brest,22,fr,France,Ligue 1,6.596363636,906,1,0,136
