playedPositions,playedPositionsShort,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-MC-ML-,M(CL),9,5,0,0,1,Jean-Victor Makengo,300634,Midfielder,146,Lorient,22,fr,France,Ligue 1,6.228888889,372,0,0,253
-AMC-,AM(C),11,2,0,0,0,Louis Mouton,431302,Midfielder,614,Angers,22,fr,France,Ligue 1,6.226363636,678,0,1,254
-MR-,M(R),10,6,0,0,0,Joel Mvuka,422923,Midfielder,146,Lorient,22,fr,France,Ligue 1,6.226,431,0,0,255
-MC-ML-MR-,M(CLR),9,5,0,1,0,Junior Dina Ebimbe,372927,Midfielder,2332,Brest,22,fr,France,Ligue 1,6.225555556,331,0,0,256
,Midfielder,9,5,0,0,0,Yassine Benhattab,470182,Midfielder,302,Nantes,22,fr,France,Ligue 1,6.224444444,414,0,0,257
-MC-,M(C),9,5,0,1,0,Ngal'ayel Mukau,468938,Midfielder,607,Lille,22,fr,France,Ligue 1,6.206666667,371,1,0,258
-DMC-,DMC,8,3,0,0,0,Salis Abdul Samed,422189,Midfielder,613,Nice,22,fr,France,Ligue 1,6.1925,354,1,0,259
-MR-,M(R),9,8,0,0,1,Saud Abdulhamid,457103,Defender,309,Lens,22,fr,France,Ligue 1,6.182222222,196,0,0,260
-DC-DR-MC-,"D(CR),M(C)",8,2,0,0,0,Benjamin Stambouli,83303,Midfielder,314,Metz,22,fr,France,Ligue 1,6.1775,537,0,0,261
,Midfielder,7,2,0,0,0,Khalis Merah,575108,Midfielder,228,Lyon,22,fr,France,Ligue 1,6.177142857,403,1,0,262
-AMR-FW-,"AM(R),FW",7,7,0,1,1,Nouha Dicko,106003,Forward,2832,Paris FC,22,fr,France,Ligue 1,6.174285714,48,0,0,263
-GK-,GK,9,0,0,0,0,Yvon Mvogo,103542,Goalkeeper,146,Lorient,22,fr,France,Ligue 1,6.173333333,810,0,0,264
,Forward,9,6,0,0,0,Felix Mambimbi,383858,Forward,217,Le Havre,22,fr,France,Ligue 1,6.162222222,255,0,0,265
,Defender,9,8,0,0,0,Marius Courcoul,511377,Defender,614,Angers,22,fr,France,Ligue 1,6.132222222,125,0,0,266
-ML-,M(L),10,5,0,0,0,Darlin Yongwa,444789,Defender,146,Lorient,22,fr,France,Ligue 1,6.128,431,0,1,267
,Midfielder,9,8,0,0,0,Rudy Matondo,557883,Midfielder,308,Auxerre,22,fr,France,Ligue 1,6.118888889,174,2,0,268
-DR-FW-ML-MR-,"D(R),M(LR),FW",11,1,0,0,0,Josué Casimir,486042,Forward,308,Auxerre,22,fr,France,Ligue 1,6.113636364,832,1,1,269
-MC-ML-MR-,M(CLR),10,9,0,0,1,Morgan Sanson,115508,Midfielder,613,Nice,22,fr,France,Ligue 1,6.092,200,0,0,270
-DL-,D(L),8,5,0,0,0,Nhoa Sangui,513632,Defender,2832,Paris FC,22,fr,France,Ligue 1,6.0775,333,0,0,271
,Midfielder,7,5,0,0,0,Noah Cadiou,511597,Midfielder,146,Lorient,22,fr,France,Ligue 1,6.074285714,201,0,0,272
-FW-MC-MR-,"M(CR),FW",8,7,0,0,0,Florian Sotoca,274934,Forward,309,Lens,22,fr,France,Ligue 1,6.06125,42,1,0,273
,Midfielder,8,7,0,0,0,Hamidou Makalou,512773,Midfielder,2332,Brest,22,fr,France,Ligue 1,6.0275,148,0,0,274
,Forward,10,10,0,0,0,Lanroy Machine,559978,Forward,614,Angers,22,fr,France,Ligue 1,6.013,176,0,0,275
