playedPositions,playedPositionsShort,teamRegionName,tournamentShortName,apps,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-FW-,FW,England,EPL,11,5,14,1,Erling Haaland,315227,Forward,167,Man City,England,Premier League,7.900909091,948,0,0,1
-DL-MC-,"D(L),M(C)",England,EPL,11,1,1,3,Granit Xhaka,89401,Midfielder,16,Sunderland,England,Premier League,7.367272727,990,4,0,2
-DC-DMC-,"D(C),DMC",England,EPL,11,2,2,2,Declan Rice,332325,Midfielder,13,Arsenal,England,Premier League,7.330909091,896,0,0,3
-DC-DR-MR-,"D(CR),M(R)",England,EPL,9,2,1,1,Nordi Mukiele,299077,Defender,16,Sunderland,England,Premier League,7.306666667,810,1,0,4
-DMC-DR-,"D(R),DMC",England,EPL,11,3,3,1,Moisés Caicedo,410175,Midfielder,15,Chelsea,England,Premier League,7.299090909,945,2,0,5
-DC-,D(C),England,EPL,11,2,1,2,Gabriel Magalhães,334087,Defender,13,Arsenal,England,Premier League,7.299090909,990,1,0,6
-MC-ML-MR-,M(CLR),England,EPL,11,2,1,3,Jérémy Doku,388098,Forward,167,Man City,England,Premier League,7.298181818,623,0,0,7
-DC-,D(C),England,EPL,9,1,2,0,Dan Ballard,371761,Defender,16,Sunderland,England,Premier League,7.282222222,581,0,0,8
-FW-MC-ML-MR-,"M(CLR),FW",England,EPL,10,1,1,4,Mohammed Kudus,400166,Midfielder,30,Tottenham,England,Premier League,7.255,879,3,0,9
-FW-MC-ML-,"M(CL),FW",England,EPL,10,1,1,4,Jack Grealish,113069,Midfielder,31,Everton,England,Premier League,7.239,827,3,0,10
-DC-,D(C),England,EPL,10,1,1,1,Marc Guéhi,374631,Defender,162,Crystal Palace,England,Premier League,7.234,900,0,0,11
-DL-MC-ML-MR-,"D(L),M(CLR)",England,EPL,9,2,3,0,Bukayo Saka,367185,Forward,13,Arsenal,England,Premier League,7.223333333,684,0,0,12
-AMC-AML-FW-,"AM(CL),FW",England,EPL,11,2,4,3,João Pedro,373525,Forward,15,Chelsea,England,Premier League,7.211818182,934,0,0,13
-DC-DL-DR-,D(CLR),England,EPL,11,1,2,1,Jurriën Timber,388650,Defender,13,Arsenal,England,Premier League,7.209090909,883,2,0,14
-FW-,FW,England,EPL,11,2,8,0,Igor Thiago,443784,Forward,189,Brentford,England,Premier League,7.192727273,925,3,0,15
-DC-,D(C),England,EPL,8,0,1,1,Omar Alderete,344639,Defender,16,Sunderland,England,Premier League,7.18,667,1,0,16
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,11,0,4,1,Iliman Ndiaye,366116,Forward,31,Everton,England,Premier League,7.178181818,919,2,0,17
-AML-AMR-FW-,"AM(LR),FW",England,EPL,11,2,6,3,Antoine Semenyo,357073,Forward,183,Bournemouth,England,Premier League,7.174545455,990,2,0,18
-DMC-,DMC,England,EPL,9,2,3,1,Ryan Gravenberch,363884,Midfielder,26,Liverpool,England,Premier League,7.166666667,782,2,0,19
-DC-DMC-DR-,"D(CR),DMC",England,EPL,10,2,2,0,Trevoh Chalobah,353292,Defender,15,Chelsea,England,Premier League,7.16,842,2,1,20
-DC-DMC-DR-MR-,"D(CR),DMC,M(R)",England,EPL,11,1,1,2,Daniel Muñoz,400496,Defender,162,Crystal Palace,England,Premier League,7.158181818,990,3,0,21
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,9,0,1,1,Phil Foden,331254,Midfielder,167,Man City,England,Premier League,7.155555556,714,3,0,22
-DC-,D(C),England,EPL,11,1,0,1,Maxence Lacroix,401130,Defender,162,Crystal Palace,England,Premier League,7.145454545,990,1,0,23
-AML-AMR-,AM(LR),England,EPL,11,0,1,3,Yankuba Minteh,484175,Forward,211,Brighton,England,Premier League,7.138181818,952,0,0,24
-DC-,D(C),England,EPL,11,1,0,2,Marcos Senesi,328330,Defender,183,Bournemouth,England,Premier League,7.117272727,978,3,0,25
-FW-MC-ML-MR-,"M(CLR),FW",England,EPL,11,0,2,3,Bruno Fernandes,123761,Midfielder,32,Man Utd,England,Premier League,7.082727273,982,2,0,26
-DC-DMC-,"D(C),DMC",England,EPL,11,0,0,0,Chris Richards,395401,Defender,162,Crystal Palace,England,Premier League,7.082727273,990,0,0,27
-DMC-,DMC,England,EPL,11,1,2,1,Martín Zubimendi,372424,Midfielder,13,Arsenal,England,Premier League,7.080909091,940,2,0,28
-DMC-,DMC,England,EPL,11,2,2,1,João Palhinha,322774,Midfielder,30,Tottenham,England,Premier League,7.078181818,863,3,0,29
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,11,2,3,2,Pedro Neto,337916,Forward,15,Chelsea,England,Premier League,7.077272727,837,0,0,30
-FW-MC-ML-MR-,"M(CLR),FW",England,EPL,11,3,1,1,Dominik Szoboszlai,369875,Midfielder,26,Liverpool,England,Premier League,7.075454545,990,4,0,31
-FW-,FW,England,EPL,11,2,6,0,Jean-Philippe Mateta,328096,Forward,162,Crystal Palace,England,Premier League,7.071818182,963,2,0,32
-DR-MC-ML-MR-,"D(R),M(CLR)",England,EPL,9,0,1,1,Matheus Nunes,394933,Midfielder,167,Man City,England,Premier League,7.042222222,694,1,0,33
-GK-,GK,England,EPL,11,3,0,0,Robin Roefs,422814,Goalkeeper,16,Sunderland,England,Premier League,7.041818182,990,1,0,34
-DL-,D(L),England,EPL,10,0,1,2,Nico O'Reilly,468847,Midfielder,167,Man City,England,Premier League,7.037,686,2,0,35
-MC-,M(C),England,EPL,10,0,1,0,Nico González,422939,Midfielder,167,Man City,England,Premier League,7.022,646,3,0,36
-GK-,GK,England,EPL,11,1,0,0,Nick Pope,105720,Goalkeeper,23,Newcastle,England,Premier League,7.020909091,977,1,0,37
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,11,1,3,2,Cody Gakpo,352825,Forward,26,Liverpool,England,Premier League,7.017272727,831,0,0,38
-MC-MR-,M(CR),England,EPL,10,0,1,2,Amad Diallo,386634,Forward,32,Man Utd,England,Premier League,7.014,756,1,0,39
-DC-DL-ML-,"D(CL),M(L)",England,EPL,11,0,0,2,Marc Cucurella,363496,Defender,15,Chelsea,England,Premier League,7.004545455,898,2,0,40
-MC-MR-,M(CR),England,EPL,11,0,1,1,James Garner,367781,Midfielder,31,Everton,England,Premier League,6.999090909,990,4,0,41
-DC-,D(C),England,EPL,11,0,0,0,James Tarkowski,131464,Defender,31,Everton,England,Premier League,6.996363636,990,2,0,42
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,11,1,5,1,Bryan Mbeumo,353377,Forward,32,Man Utd,England,Premier League,6.993636364,956,0,0,43
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,11,1,3,1,Jarrod Bowen,322596,Forward,29,West Ham,England,Premier League,6.991818182,990,0,0,44
-DL-ML-,"D(L),M(L)",England,EPL,11,0,1,0,Tyrick Mitchell,389579,Defender,162,Crystal Palace,England,Premier League,6.991818182,990,2,0,45
-DMC-,DMC,England,EPL,11,1,1,2,Sean Longstaff,342811,Midfielder,19,Leeds,England,Premier League,6.978181818,790,1,0,46
-DC-,D(C),England,EPL,11,0,0,0,Virgil van Dijk,95408,Defender,26,Liverpool,England,Premier League,6.969090909,990,2,0,47
-DC-,D(C),England,EPL,10,0,0,0,William Saliba,361822,Defender,13,Arsenal,England,Premier League,6.961,726,0,0,48
-AMC-AML-AMR-,AM(CLR),England,EPL,9,0,1,2,Eberechi Eze,332403,Midfielder,13,Arsenal,England,Premier League,6.96,623,0,0,49
-MC-,M(C),England,EPL,10,0,3,1,Enzo Fernández,369430,Midfielder,15,Chelsea,England,Premier League,6.958,882,2,0,50
-DMC-,DMC,England,EPL,7,0,1,0,Amadou Onana,400815,Midfielder,24,Aston Villa,England,Premier League,6.947142857,488,2,0,51
-DC-,D(C),England,EPL,9,0,0,1,Cristian Romero,323663,Defender,30,Tottenham,England,Premier League,6.944444444,749,4,0,52
-DC-DR-MR-,"D(CR),M(R)",England,EPL,8,0,0,0,Kenny Tete,145996,Defender,170,Fulham,England,Premier League,6.93875,720,1,0,53
-DC-DL-DMC-DR-MR-,"D(CLR),DMC,M(R)",England,EPL,11,0,1,2,Reece James,361330,Defender,15,Chelsea,England,Premier League,6.933636364,707,2,0,54
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,9,0,3,1,Ismaïla Sarr,322670,Forward,162,Crystal Palace,England,Premier League,6.931111111,794,1,0,55
-DC-,D(C),England,EPL,11,1,1,0,Jan Paul van Hecke,365402,Defender,211,Brighton,England,Premier League,6.930909091,990,3,0,56
-DC-DR-,D(CR),England,EPL,11,1,2,0,Michael Keane,107941,Defender,31,Everton,England,Premier League,6.929090909,965,0,0,57
-FW-MC-ML-MR-,"M(CLR),FW",England,EPL,11,1,3,0,Lucas Paquetá,319756,Midfielder,29,West Ham,England,Premier League,6.928181818,961,5,0,58
-DC-DL-,D(CL),England,EPL,11,0,1,2,Riccardo Calafiori,386519,Defender,13,Arsenal,England,Premier League,6.926363636,863,3,0,59
-DC-,D(C),England,EPL,11,2,1,0,Matthijs de Ligt,320374,Defender,32,Man Utd,England,Premier League,6.92,990,0,0,60
-GK-,GK,England,EPL,11,0,0,0,Martin Dúbravka,46092,Goalkeeper,184,Burnley,England,Premier League,6.918181818,990,0,0,61
-DL-ML-,"D(L),M(L)",England,EPL,11,1,0,1,Adrien Truffert,398301,Defender,183,Bournemouth,England,Premier League,6.912727273,963,2,0,62
-AML-AMR-FW-,"AM(LR),FW",England,EPL,11,1,3,1,Kevin Schade,407260,Midfielder,189,Brentford,England,Premier League,6.910909091,923,4,0,63
-DC-,D(C),England,EPL,11,1,0,0,Rúben Dias,313171,Defender,167,Man City,England,Premier League,6.91,905,0,0,64
-MC-,M(C),England,EPL,10,1,1,2,Kiernan Dewsbury-Hall,391256,Midfielder,31,Everton,England,Premier League,6.907,888,5,0,65
-DMC-DR-,"D(R),DMC",England,EPL,9,0,0,2,Mats Wieffer,445059,Midfielder,211,Brighton,England,Premier League,6.906666667,642,3,0,66
-DC-DL-DMC-,"D(CL),DMC",England,EPL,9,0,0,2,Boubacar Kamara,331790,Midfielder,24,Aston Villa,England,Premier League,6.906666667,647,3,0,67
-DC-,D(C),England,EPL,11,0,2,0,Joe Rodon,302312,Defender,19,Leeds,England,Premier League,6.906363636,990,0,0,68
-FW-MC-ML-MR-,"M(CLR),FW",England,EPL,9,0,2,2,Leandro Trossard,113994,Forward,13,Arsenal,England,Premier League,6.89,646,0,0,69
-DR-,D(R),England,EPL,11,0,0,0,Michael Kayode,470031,Defender,189,Brentford,England,Premier League,6.888181818,955,1,0,70
-DC-,D(C),England,EPL,8,0,0,0,Malick Thiaw,393355,Defender,23,Newcastle,England,Premier League,6.885,633,1,0,71
-DMC-,DMC,England,EPL,10,2,3,1,Bruno Guimarães,338780,Midfielder,23,Newcastle,England,Premier League,6.875,896,3,0,72
-DC-DL-,D(CL),England,EPL,11,2,3,0,Micky van de Ven,425229,Defender,30,Tottenham,England,Premier League,6.870909091,980,2,0,73
-DC-DL-,D(CL),England,EPL,7,0,0,1,Josko Gvardiol,402664,Defender,167,Man City,England,Premier League,6.867142857,610,0,0,74
-AML-FW-,"AM(L),FW",England,EPL,10,0,4,0,Viktor Gyökeres,362815,Forward,13,Arsenal,England,Premier League,6.863,804,1,0,75
-AMC-AML-FW-,"AM(CL),FW",England,EPL,10,0,1,0,Matheus Cunha,362758,Forward,32,Man Utd,England,Premier League,6.861,685,0,0,76
-DMC-,DMC,England,EPL,11,1,2,1,Josh Cullen,273292,Midfielder,184,Burnley,England,Premier League,6.859090909,944,1,0,77
-GK-,GK,England,EPL,11,0,0,0,Guglielmo Vicario,147863,Goalkeeper,30,Tottenham,England,Premier League,6.857272727,990,0,0,78
-DC-,D(C),England,EPL,10,1,0,0,Joachim Andersen,231135,Defender,170,Fulham,England,Premier League,6.856,852,0,0,79
-DC-DMC-,"D(C),DMC",England,EPL,10,1,3,1,Casemiro,88526,Midfielder,32,Man Utd,England,Premier League,6.835,625,3,1,80
-FW-MC-ML-MR-,"M(CLR),FW",England,EPL,9,1,3,2,Emiliano Buendía,260592,Midfielder,24,Aston Villa,England,Premier League,6.834444444,430,2,0,81
-AMC-AML-,AM(CL),England,EPL,9,0,1,1,Mikkel Damsgaard,401168,Midfielder,189,Brentford,England,Premier League,6.831111111,722,0,0,82
-DR-MC-ML-MR-,"D(R),M(CLR)",England,EPL,11,1,2,0,Matty Cash,322043,Defender,24,Aston Villa,England,Premier League,6.829090909,968,3,0,83
-DC-DL-DR-MR-,"D(CLR),M(R)",England,EPL,11,0,0,1,Trai Hume,424514,Defender,16,Sunderland,England,Premier League,6.829090909,979,1,0,84
-MC-ML-MR-,M(CLR),England,EPL,11,1,2,1,Marcus Tavernier,344314,Midfielder,183,Bournemouth,England,Premier League,6.825454545,862,0,0,85
-MC-ML-,M(CL),England,EPL,10,2,2,0,Diego Gómez,446133,Midfielder,211,Brighton,England,Premier League,6.823,544,2,0,86
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,11,2,4,2,Richarlison,317804,Forward,30,Tottenham,England,Premier League,6.821818182,634,2,0,87
-MC-ML-,M(CL),England,EPL,11,0,1,1,Elliot Anderson,402596,Midfielder,174,Nottingham Forest,England,Premier League,6.817272727,990,2,0,88
-MC-,M(C),England,EPL,10,0,2,2,Pape Matar Sarr,403859,Midfielder,30,Tottenham,England,Premier League,6.813,571,0,0,89
-GK-,GK,England,EPL,11,0,0,0,Bernd Leno,92173,Goalkeeper,170,Fulham,England,Premier League,6.811818182,990,1,0,90
-DC-,D(C),England,EPL,11,1,0,0,Ibrahima Konaté,345957,Defender,26,Liverpool,England,Premier League,6.804545455,926,2,0,91
-DC-,D(C),England,EPL,8,1,1,0,Santiago Bueno,444241,Defender,161,Wolves,England,Premier League,6.80125,664,2,0,92
-MC-,M(C),England,EPL,10,0,1,2,Tijjani Reijnders,343382,Midfielder,167,Man City,England,Premier League,6.799,761,2,0,93
-DL-DR-ML-MR-,"D(LR),M(LR)",England,EPL,11,1,1,0,Neco Williams,386969,Defender,174,Nottingham Forest,England,Premier League,6.787272727,990,4,0,94
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,9,1,0,0,Daichi Kamada,344166,Midfielder,162,Crystal Palace,England,Premier League,6.786666667,763,0,0,95
-DMC-,DMC,England,EPL,11,0,0,1,Sandro Tonali,343501,Midfielder,23,Newcastle,England,Premier League,6.786363636,872,0,0,96
-AMC-FW-,"AM(C),FW",England,EPL,8,0,4,0,Nick Woltemade,386606,Forward,23,Newcastle,England,Premier League,6.78,618,0,0,97
-MC-MR-,M(CR),England,EPL,11,0,1,0,Alex Scott,410998,Midfielder,183,Bournemouth,England,Premier League,6.776363636,737,1,0,98
-DMC-,DMC,England,EPL,8,0,0,1,Florentino,369712,Midfielder,184,Burnley,England,Premier League,6.77,657,1,0,99
-DR-MC-MR-,"D(R),M(CR)",England,EPL,11,0,1,1,Tyler Adams,315275,Midfielder,183,Bournemouth,England,Premier League,6.768181818,957,4,0,100
-DL-,D(L),England,EPL,11,0,0,4,Quilindschy Hartman,444739,Defender,184,Burnley,England,Premier League,6.767272727,979,1,0,101
-DMC-,DMC,England,EPL,9,0,0,0,Adam Wharton,430774,Midfielder,162,Crystal Palace,England,Premier League,6.758888889,701,1,0,102
-AMR-,AM(R),England,EPL,8,0,0,1,Oscar Bobb,430709,Midfielder,167,Man City,England,Premier League,6.75375,454,0,0,103
-AML-FW-,"AM(L),FW",England,EPL,8,0,2,0,Noah Okafor,376090,Forward,19,Leeds,England,Premier League,6.7525,521,2,0,104
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,11,1,1,1,Brenden Aaronson,371012,Midfielder,19,Leeds,England,Premier League,6.750909091,716,1,0,105
-FW-,FW,England,EPL,10,1,3,1,Hugo Ekitiké,403784,Forward,26,Liverpool,England,Premier League,6.749,637,0,0,106
