playedPositions,playedPositionsShort,teamRegionName,tournamentShortName,apps,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-DC-DR-,D(CR),England,EPL,11,0,0,0,Nathan Collins,372724,Defender,189,Brentford,England,Premier League,6.614545455,990,4,0,147
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,11,0,1,2,Morgan Rogers,362824,Forward,24,Aston Villa,England,Premier League,6.604545455,978,2,0,148
-GK-,GK,England,EPL,7,0,0,0,Alphonse Areola,92516,Goalkeeper,29,West Ham,England,Premier League,6.602857143,630,0,0,149
-GK-,GK,England,EPL,11,1,0,0,David Raya,276366,Goalkeeper,13,Arsenal,England,Premier League,6.602727273,990,1,0,150
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,11,2,6,0,Danny Welbeck,39308,Forward,211,Brighton,England,Premier League,6.601818182,714,2,0,151
-DC-DL-ML-,"D(CL),M(L)",England,EPL,11,1,0,1,Dan Burn,82277,Defender,23,Newcastle,England,Premier League,6.600909091,973,3,1,152
-DL-DR-MC-ML-MR-,"D(LR),M(CLR)",England,EPL,10,0,0,0,Ferdi Kadioglu,321958,Defender,211,Brighton,England,Premier League,6.6,735,3,0,153
-AMC-AML-,AM(CL),England,EPL,9,0,1,1,Mateus Fernandes,447231,Midfielder,29,West Ham,England,Premier League,6.6,647,1,0,154
-AMC-FW-,"AM(C),FW",England,EPL,11,1,2,1,Benjamin Sesko,424191,Forward,32,Man Utd,England,Premier League,6.599090909,617,1,0,155
-DMC-,DMC,England,EPL,11,0,0,1,Yehor Yarmoliuk,444304,Midfielder,189,Brentford,England,Premier League,6.598181818,873,1,0,156
-DC-DR-MR-,"D(CR),M(R)",England,EPL,11,1,0,1,Kyle Walker,69778,Defender,184,Burnley,England,Premier League,6.592727273,990,3,0,157
-DC-DR-,D(CR),England,EPL,10,0,0,0,Ezri Konsa,301440,Defender,24,Aston Villa,England,Premier League,6.592,876,0,1,158
-FW-,FW,England,EPL,8,0,4,0,Junior Kroupi,479170,Forward,183,Bournemouth,England,Premier League,6.59,254,1,0,159
-AMC-AMR-FW-,"AM(CR),FW",England,EPL,10,0,0,2,Georginio Rutter,362433,Forward,211,Brighton,England,Premier League,6.586,685,2,0,160
-DC-,D(C),England,EPL,11,0,0,0,Maximilian Kilman,368310,Defender,29,West Ham,England,Premier League,6.583636364,990,3,0,161
-DL-FW-ML-MR-,"D(L),M(LR),FW",England,EPL,10,1,2,0,Dango Ouattara,422183,Forward,189,Brentford,England,Premier League,6.583,644,2,0,162
-ML-MR-,M(LR),England,EPL,10,0,1,1,Dan Ndoye,398414,Forward,174,Nottingham Forest,England,Premier League,6.582,762,1,0,163
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,10,0,0,0,Jhon Arias,424039,Midfielder,161,Wolves,England,Premier League,6.579,550,0,0,164
-MC-,M(C),England,EPL,8,0,0,1,Tim Iroegbunam,416208,Midfielder,31,Everton,England,Premier League,6.5725,341,4,0,165
-GK-,GK,England,EPL,11,0,0,0,Robert Sánchez,362151,Goalkeeper,15,Chelsea,England,Premier League,6.571818182,905,1,1,166
-AML-,AM(L),England,EPL,8,0,0,0,Kevin,429174,Forward,170,Fulham,England,Premier League,6.56375,316,1,0,167
-DC-DR-,D(CR),England,EPL,11,0,0,0,Jake O'Brien,424495,Defender,31,Everton,England,Premier League,6.563636364,870,0,0,168
-AMC-AML-AMR-FW-,"AM(CLR),FW",England,EPL,9,0,0,0,Joelinton,201755,Midfielder,23,Newcastle,England,Premier League,6.56,654,2,0,169
-DC-DMC-,"D(C),DMC",England,EPL,9,0,0,0,Ethan Ampadu,322418,Defender,19,Leeds,England,Premier League,6.556666667,789,3,0,170
-DL-DR-ML-MR-,"D(LR),M(LR)",England,EPL,9,1,0,1,Diogo Dalot,353418,Defender,32,Man Utd,England,Premier League,6.552222222,595,0,0,171
-DC-,D(C),England,EPL,9,1,0,0,Sven Botman,379732,Defender,23,Newcastle,England,Premier League,6.552222222,645,0,0,172
-AML-AMR-,AM(LR),England,EPL,9,0,0,1,Crysencio Summerville,382564,Forward,29,West Ham,England,Premier League,6.551111111,645,3,0,173
-FW-,FW,England,EPL,9,0,1,0,Evanilson,384430,Forward,183,Bournemouth,England,Premier League,6.55,724,1,0,174
-AML-FW-,"AM(L),FW",England,EPL,11,0,4,0,Wilson Isidor,363535,Forward,16,Sunderland,England,Premier League,6.545454545,677,0,0,175
-AML-FW-,"AM(L),FW",England,EPL,8,0,2,1,Lyle Foster,371447,Forward,184,Burnley,England,Premier League,6.545,584,2,0,176
-DR-MR-,"D(R),M(R)",England,EPL,9,0,1,1,Malo Gusto,403850,Defender,15,Chelsea,England,Premier League,6.544444444,553,0,1,177
-MC-,M(C),England,EPL,9,0,1,1,Lucas Bergvall,505295,Midfielder,30,Tottenham,England,Premier League,6.54,414,1,0,178
-DL-ML-,"D(L),M(L)",England,EPL,10,0,1,0,Milos Kerkez,424273,Defender,26,Liverpool,England,Premier League,6.539,698,3,0,179
