tournamentShortName,apps,subOn,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
UCL,4,0,0,0,0,Morten Hjulmand,403647,Midfielder,296,Sporting,12,250,ceu,Europe,Champions League,6.7425,340,1,0,213
UCL,4,0,0,2,0,Scott McTominay,336915,Midfielder,276,Napoli,12,250,ceu,Europe,Champions League,6.7425,339,0,0,214
UCL,4,2,0,1,0,Conor Gallagher,375621,Midfielder,63,Atletico,12,250,ceu,Europe,Champions League,6.74,206,0,0,215
UCL,4,2,0,0,0,Manuel Locatelli,273539,Midfielder,87,Juventus,12,250,ceu,Europe,Champions League,6.74,210,0,0,216
UCL,4,0,0,0,0,Weston McKennie,338275,Midfielder,87,Juventus,12,250,ceu,Europe,Champions League,6.7375,329,0,0,217
UCL,3,3,0,1,1,Couhaib Driouech,400009,Forward,129,PSV Eindhoven,12,250,ceu,Europe,Champions League,6.736666667,55,1,0,218
UCL,3,0,0,0,0,Oscar Dorley,404197,Midfielder,349,Slavia Prague,12,250,ceu,Europe,Champions League,6.733333333,270,0,0,219
UCL,3,0,0,2,0,Rasmus Højlund,439584,Forward,276,Napoli,12,250,ceu,Europe,Champions League,6.726666667,252,0,0,220
UCL,4,1,0,0,0,Baris Alper Yilmaz,421779,Forward,294,Galatasaray,12,250,ceu,Europe,Champions League,6.725,285,0,0,221
UCL,2,0,0,0,0,Ilkay Gündogan,77464,Midfielder,294,Galatasaray,12,250,ceu,Europe,Champions League,6.725,142,0,0,222
UCL,2,1,0,0,0,Jesús Areso,422820,Defender,53,Athletic Club,12,250,ceu,Europe,Champions League,6.725,103,1,0,223
UCL,2,1,0,0,0,José María Giménez,135914,Defender,63,Atletico,12,250,ceu,Europe,Champions League,6.725,127,1,0,224
UCL,4,1,0,0,0,Piotr Zielinski,118169,Midfielder,75,Inter,12,250,ceu,Europe,Champions League,6.725,257,0,0,225
