playedPositions,playedPositionsShort,teamRegionName,tournamentShortName,apps,manOfTheMatch,goal,assistTotal,name,playerId,positionText,teamId,teamName,seasonName,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,ranking
-DL-ML-,"D(L),M(L)",Germany,GB,6,0,0,1,Luca Netz,394888,Defender,134,Borussia M.Gladbach,2025/2026,Germany,Bundesliga,6.526666667,238,0,0,168
-MC-,M(C),Germany,GB,9,0,0,1,Ezechiel Banzuzi,485929,Midfielder,7614,RBL,2025/2026,Germany,Bundesliga,6.524444444,284,2,0,169
-GK-,GK,Germany,GB,9,0,0,0,Manuel Neuer,13754,Goalkeeper,37,Bayern,2025/2026,Germany,Bundesliga,6.516666667,810,0,0,170
-DC-DR-MR-,"D(CR),M(R)",Germany,GB,7,0,1,0,Silvan Widmer,103622,Defender,219,Mainz,2025/2026,Germany,Bundesliga,6.51,386,1,0,171
-DC-,D(C),Germany,GB,10,0,1,0,Karim Coulibaly,554472,Defender,42,Werder Bremen,2025/2026,Germany,Bundesliga,6.508,803,2,0,172
-MR-,M(R),Germany,GB,10,0,0,0,Sebastian Sebulonsen,395374,Defender,282,FC Koln,2025/2026,Germany,Bundesliga,6.508,734,3,0,173
-FW-,FW,Germany,GB,8,1,2,0,Igor Matanovic,407222,Forward,50,Freiburg,2025/2026,Germany,Bundesliga,6.50375,186,0,0,174
-AMC-AML-AMR-FW-,"AM(CLR),FW",Germany,GB,6,0,2,1,Luca Waldschmidt,148484,Forward,282,FC Koln,2025/2026,Germany,Bundesliga,6.503333333,208,0,0,175
-AMC-AML-,AM(CL),Germany,GB,9,0,0,0,Elias Saad,472205,Forward,1730,Augsburg,2025/2026,Germany,Bundesliga,6.501111111,475,1,0,176
-FW-MC-ML-MR-,"M(CLR),FW",Germany,GB,7,0,0,1,Patrick Wimmer,418589,Midfielder,33,Wolfsburg,2025/2026,Germany,Bundesliga,6.5,445,2,0,177
-DC-DR-,D(CR),Germany,GB,8,0,0,0,Stefan Bell,83467,Defender,219,Mainz,2025/2026,Germany,Bundesliga,6.4975,327,1,0,178
-AMC-AML-AMR-FW-,"AM(CLR),FW",Germany,GB,9,1,3,0,Oliver Burke,244303,Forward,796,Union Berlin,2025/2026,Germany,Bundesliga,6.496666667,484,0,0,179
-AML-,AM(L),Germany,GB,10,0,0,1,Arijon Ibrahimovic,430704,Midfielder,4852,FC Heidenheim,2025/2026,Germany,Bundesliga,6.496,826,1,0,180
-DC-,D(C),Germany,GB,8,0,0,0,Tim Siersleben,397260,Defender,4852,FC Heidenheim,2025/2026,Germany,Bundesliga,6.49375,627,1,0,181
-MC-,M(C),Germany,GB,8,0,0,0,Aljoscha Kemlein,455785,Midfielder,796,Union Berlin,2025/2026,Germany,Bundesliga,6.4925,370,0,0,182
-MC-,M(C),Germany,GB,8,0,0,1,Florian Neuhaus,319448,Midfielder,134,Borussia M.Gladbach,2025/2026,Germany,Bundesliga,6.49125,394,0,0,183
